Ticker,Type,Market Cap,Percentile,Cap Category,Type_Cap_Category
MTD,Blend,29987710976,0.4393638170974155,Mid Cap,Blend Mid Cap
MGM,Growth,12600524800,0.11133200795228629,Small Cap,Growth Small Cap
MCHP,Blend,52201431040,0.6699801192842942,Large Cap,Blend Large Cap
MU,Value,138421239808,0.8747514910536779,Large Cap,Value Large Cap
MSFT,Growth,3085374849024,1.0,Large Cap,Growth Large Cap
MAA,Value,16039718912,0.19681908548707752,Small Cap,Value Small Cap
MRNA,Value,54630862848,0.679920477137177,Large Cap,Value Large Cap
MHK,Blend,7786827776,0.02186878727634195,Small Cap,Blend Small Cap
MOH,Growth,18429290496,0.27037773359840955,Small Cap,Growth Small Cap
TAP,Blend,11627010048,0.08946322067594434,Small Cap,Blend Small Cap
MDLZ,Blend,91923398656,0.8011928429423459,Large Cap,Blend Large Cap
MPWR,Growth,35804581888,0.5129224652087475,Mid Cap,Growth Mid Cap
MNST,Blend,54424100864,0.6779324055666004,Large Cap,Blend Large Cap
MCO,Blend,72493940736,0.7495029821073559,Large Cap,Blend Large Cap
MS,Value,159005638656,0.8946322067594433,Large Cap,Value Large Cap
MOS,Blend,9940685824,0.055666003976143144,Small Cap,Blend Small Cap
MSI,Blend,60862246912,0.7037773359840954,Large Cap,Blend Large Cap
MSCI,Blend,39230238720,0.5487077534791253,Mid Cap,Blend Mid Cap
NDAQ,Value,34032742400,0.49304174950298213,Mid Cap,Value Mid Cap
NTAP,Blend,24853981184,0.3856858846918489,Mid Cap,Blend Mid Cap
NFLX,Growth,276474691584,0.94831013916501,Large Cap,Growth Large Cap
NEM,Value,48362688512,0.6401590457256461,Mid Cap,Value Mid Cap
NWSA,Blend,15617608704,0.18886679920477137,Small Cap,Blend Small Cap
NWS,Blend,15614946304,0.18687872763419483,Small Cap,Blend Small Cap
NEE,Value,164403494912,0.9025844930417495,Large Cap,Value Large Cap
NKE,Blend,143464677376,0.882703777335984,Large Cap,Blend Large Cap
NI,Blend,13027742720,0.12524850894632206,Small Cap,Blend Small Cap
NDSN,Blend,13442132992,0.13518886679920478,Small Cap,Blend Small Cap
NSC,Value,50785468416,0.658051689860835,Mid Cap,Value Mid Cap
NTRS,Value,17234829312,0.23260437375745527,Small Cap,Value Small Cap
NOC,Value,66777067520,0.7296222664015904,Large Cap,Value Large Cap
NCLH,Growth,7122080768,0.007952286282306162,Small Cap,Growth Small Cap
NRG,Value,16886555648,0.220675944333996,Small Cap,Value Small Cap
NUE,Growth,40483815424,0.562624254473161,Mid Cap,Growth Mid Cap
NVDA,Growth,2696785428480,0.9960238568588469,Large Cap,Growth Large Cap
